rank	conflict	source_file_or_location	scientific_or_reproducibility_consequence	implemented_correction
11	Old per-case wrapper deletes output and rewrites Java metadata	PREFLIGHT_EVIDENCE_BUNDLE.zip!/analysis/artisynth/code/run_artisynth_case.py:177-187,241-259	Prior raw evidence can be destroyed; wrapper-side values can obscure what the Java model actually applied.	`run_artisynth_case_CURRENT.py::run_case`, `::read_and_validate_java_csv`, and `::finalize_row` use isolated cell directories, preserve the raw Java row, and validate it before standardization.
12	Old wrapper merges stderr into stdout and can accept nonzero process output	PREFLIGHT_EVIDENCE_BUNDLE.zip!/analysis/artisynth/code/run_artisynth_case.py:214-237	Diagnostic provenance is weakened; a nonzero launcher may be treated as usable if a stale/partial CSV exists.	`run_artisynth_case_CURRENT.py::run_case` captures stdout/stderr separately, requires return code 0 and exactly one complete raw row, and hashes each artifact.
13	Old grid resume skips any nonempty CSV without identity checks	PREFLIGHT_EVIDENCE_BUNDLE.zip!/analysis/artisynth/code/run_force_scaled_artisynth_grid_v3_extraargs.py:146-149	Cells from prior code/configurations can be silently reused after the Java correction.	`run_artisynth_case_CURRENT.py::verify_resume` verifies configuration/content plus code/runtime/artifact hashes; `run_artisynth_grid_CURRENT.py::verify_existing_grid` refuses a mismatched grid resume.
14	Old grid can continue after failures and aggregate only completed CSVs	PREFLIGHT_EVIDENCE_BUNDLE.zip!/analysis/artisynth/code/run_force_scaled_artisynth_grid_v3_extraargs.py:155-190	A partial grid can look like a valid long table because failed/missing cells disappear.	`run_artisynth_grid_CURRENT.py::main` initializes exactly 342 rows, updates atomically after each attempt, retains failure/not-attempted states, and exits nonzero until all cells succeed.
15	Old compute_fmax groups incompletely and collapses duplicates with any()	PREFLIGHT_EVIDENCE_BUNDLE.zip!/analysis/artisynth/code/compute_fmax.py:78-103	Duplicate rows or mixed amplitudes/modes can be silently merged, producing ambiguous endpoints.	`compute_fmax_CURRENT.py::read_mode` and `::compute` require exact 342-row mode tables and exact mode×scale×amplitude×frequency series before generating 36 endpoints.
16	Older figure defaults use gain floor 0.8 and hide low scales/frequencies	PREFLIGHT_EVIDENCE_BUNDLE.zip!/analysis/artisynth/code/make_artisynth_twoamp_figs.py:20-29,221-227,414-426; manuscript/Figure8_CURRENT.png and SuppPub2_CURRENT.png	The displayed grid/feasibility boundary differs from D8: gain floor is too strict and scales 0.80/0.85 are omitted.	`artisynth_common_CURRENT.py::feasibility` fixes gain floor 0.7; `make_artisynth_figures_CURRENT.py::plot_fmax` and `::plot_heatmap` include all scales 0.80–1.20 and all tested frequencies.
17	Supplementary simulation caption does not match the image panels	PREFLIGHT_EVIDENCE_BUNDLE.zip!/manuscript/SuppPub2_CURRENT.png versus main_CURRENT.tex:463-465	Image panels are amplitudes 1.0/1.5 and show one effort metric, while caption says panel A peak excitation and panel B effort.	`make_artisynth_figures_CURRENT.py::main` emits separately named mode×amplitude×metric panels with a provenance JSON, preventing an ambiguous manual composite.
18	Old force summary chooses whichever fmax-like column appears first	PREFLIGHT_EVIDENCE_BUNDLE.zip!/analysis/artisynth/code/summarize_force_scaled_artisynth_s2.py:9-17,31-40	A table can silently compare strict, two-failure, or any-feasible endpoints depending on column names.	`compute_fmax_CURRENT.py::compute` emits one rule-identified endpoint; `make_artisynth_figures_CURRENT.py::load_fmax` requires `STRICT_ALL_LOWER_AND_SELF_FEASIBLE_V1` provenance.
19	Historical compile helper overwrites the shared dynjaw source/class location	PREFLIGHT_EVIDENCE_BUNDLE.zip!/analysis/artisynth/code/install_compile_and_run_force_scaled_s2.sh:30-40	The prior model can be altered and other projects can load the patched class unintentionally.	The corrected model has the new public class name `MandibleScalingInverseDDK_CURRENT`; `ARTISYNTH_LOCAL_RERUN_INSTRUCTIONS.md` compiles it into a new isolated classes directory and never copies over the prior source/class.
20	Historical fixed-force outer driver deletes run/log directories	PREFLIGHT_EVIDENCE_BUNDLE.zip!/analysis/artisynth/code/run_two_amp_sweeps.sh:19-35	Prior logs/results are destroyed and provenance is split across renamed directories.	`ARTISYNTH_LOCAL_RERUN_INSTRUCTIONS.md` creates a timestamped immutable run root; `run_artisynth_grid_CURRENT.py` requires `--fresh` or hash-gated `--resume`.
21	Exact historical fixed-force cell command is not preserved in supplied bundles	PREFLIGHT_EVIDENCE_BUNDLE.zip!/analysis/artisynth/code/run_two_amp_sweeps.sh:28-30 delegates to absent run_sweep.sh, quick_qc_artisynth.py, and play_and_quit.jy	The old fixed-force launch expansion cannot be reconstructed without guessing, unlike the force-capacity manifest.	`ARTISYNTH_AUDIT_REPORT.md` records this unresolved historical provenance limit; `run_artisynth_grid_CURRENT.py::main` and `run_artisynth_case_CURRENT.py::run_case` preserve every corrected expanded command/environment.
22	Old outputs omit complete effective configuration and code/runtime identity	PREFLIGHT_EVIDENCE_BUNDLE.zip!/analysis/artisynth/code/MandibleScalingInverseDDK.java:409-423 and old long tables	Controller, gravity, constraints, target formulas, source hashes, and runtime identity cannot be established row by row.	`MandibleScalingInverseDDK_CURRENT.java::MetricsCollector.writeOutput` plus `run_artisynth_case_CURRENT.py::finalize_row` record effective parameters, metrics, status, paths, and hashes in every expected row.
